Id,Label,Degree,modularity_class,componentnumber,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks
"#","#",4,0,0,0,0,0,0,0,0,0,0
Directed,Directed,1,0,0,0,0,0,0,0,0,0,0
Collaboration,Collaboration,1,0,0,0,0,0,0,0,0,0,0
Nodes:,Nodes:,1,0,0,0,0,0,0,0,0,0,0
FromNodeId,FromNodeId,1,0,0,0,0,0,0,0,0,0,0
24325,24325,3,4,1,0,0,0,0,0,0,0,0
24394,24394,42,4,1,31,7,0.310284,0.34574,15084.043723,0.000017,0.000017,0.001753
40517,40517,49,4,1,33,7,0.293036,0.328029,6686.191327,0.000032,0.000032,0.001785
58507,58507,6,4,1,0,0,0,0,0,0,0,0
3737,3737,22,4,1,18,7,0.280514,0.31017,1070.305716,0.000019,0.000019,0.000966
3905,3905,1,4,1,0,0,0,0,0,0,0,0
7237,7237,4,6,1,0,0,0,0,0,0,0,0
12715,12715,13,4,1,10,7,0.27534,0.299202,892.725388,0.000003,0.000003,0.000627
13648,13648,50,4,1,37,7,0.300296,0.340456,9754.710817,0.000018,0.000018,0.001976
13659,13659,9,6,1,0,0,0,0,0,0,0,0
13664,13664,10,14,1,5,7,0.262544,0.281886,806.472465,0.000003,0.000003,0.000398
14304,14304,6,6,1,0,0,0,0,0,0,0,0
14823,14823,26,4,1,17,7,0.292673,0.320142,7836.67108,0.000022,0.000022,0.001059
17370,17370,40,4,1,25,7,0.302991,0.333469,13727.365085,0.000015,0.000015,0.00156
18956,18956,34,6,1,27,7,0.302088,0.336295,6801.951409,0.000026,0.000026,0.001501
19615,19615,60,6,1,42,7,0.317368,0.355808,23220.671298,0.000038,0.000038,0.002397
19660,19660,30,4,1,19,7,0.28514,0.315312,2513.59824,0.000017,0.000017,0.001041
21669,21669,31,4,1,25,7,0.304946,0.339371,7512.636431,0.000021,0.000021,0.001381
23106,23106,15,4,1,7,7,0.263618,0.285253,340.813718,0.000003,0.000003,0.000472
24832,24832,4,4,1,0,0,0,0,0,0,0,0
26021,26021,19,4,1,15,7,0.283941,0.309816,3414.933683,0.000014,0.000014,0.000938
